Frame,Front_DL_FPS,Power_W,GPU_Load_%,Temp_GPU_C,Temp_CPU_C,Temp_TJ_C,RAM_MB,CPU1_Load_%,CPU2_Load_%,CPU3_Load_%,CPU4_Load_%,CPU5_Load_%,CPU6_Load_%
0,1.167233775749846,6196,15.1,50.437,51.187,51.281,0.6624489249833531,18,18,18,21,31,36
1,15.53336617052874,6930,4.4,50.656,51.375,51.562,0.7104562368291687,13,18,33,23,66,8
2,15.540963440254625,6930,4.4,50.656,51.375,51.562,0.7104562368291687,13,18,33,23,66,8
3,15.540502788121307,6930,4.4,50.656,51.375,51.562,0.7104562368291687,13,18,33,23,66,8
4,15.503681580270278,6930,4.4,50.656,51.375,51.562,0.7104562368291687,13,18,33,23,66,8
5,15.57663154689177,6930,4.4,50.656,51.375,51.562,0.7104562368291687,13,18,33,23,66,8
6,15.55577643437303,6930,4.4,50.656,51.375,51.562,0.7104562368291687,13,18,33,23,66,8
7,15.568594844993466,6930,4.4,50.656,51.375,51.562,0.7104562368291687,13,18,33,23,66,8
8,15.307511231628851,9225,2.8,51.656,51.593,51.593,0.7170929774190886,4,2,3,3,72,0
9,15.549317495977638,9225,2.8,51.656,51.593,51.593,0.7170929774190886,4,2,3,3,72,0
10,15.550297525257207,9225,2.8,51.656,51.593,51.593,0.7170929774190886,4,2,3,3,72,0
11,15.552834645377317,9225,2.8,51.656,51.593,51.593,0.7170929774190886,4,2,3,3,72,0
12,15.551392998301855,9225,2.8,51.656,51.593,51.593,0.7170929774190886,4,2,3,3,72,0
13,15.581029224385478,9225,2.8,51.656,51.593,51.593,0.7170929774190886,4,2,3,3,72,0
14,15.56339564672094,9225,2.8,51.656,51.593,51.593,0.7170929774190886,4,2,3,3,72,0
15,15.524397149995373,9225,2.8,51.656,51.593,51.593,0.7170929774190886,4,2,3,3,72,0
16,15.474681139155042,9225,2.8,51.656,51.593,51.593,0.7170929774190886,4,2,3,3,72,0
17,15.511594020665834,9428,91.8,51.687,51.656,51.812,0.7170704226507286,4,0,2,1,69,0
18,15.577730733519035,9428,91.8,51.687,51.656,51.812,0.7170704226507286,4,0,2,1,69,0
19,15.552200287735639,9428,91.8,51.687,51.656,51.812,0.7170704226507286,4,0,2,1,69,0
20,15.55871933644683,9428,91.8,51.687,51.656,51.812,0.7170704226507286,4,0,2,1,69,0
21,15.562760427295563,9428,91.8,51.687,51.656,51.812,0.7170704226507286,4,0,2,1,69,0
22,15.563973163925667,9428,91.8,51.687,51.656,51.812,0.7170704226507286,4,0,2,1,69,0
23,15.583865885919804,9428,91.8,51.687,51.656,51.812,0.7170704226507286,4,0,2,1,69,0
24,15.48690871361634,9428,91.8,51.687,51.656,51.812,0.7170704226507286,4,0,2,1,69,0
25,15.522213957137517,9575,99.5,52.093,51.75,52.093,0.717049918315856,3,2,1,1,68,1
26,15.273953496840917,9575,99.5,52.093,51.75,52.093,0.717049918315856,3,2,1,1,68,1
27,15.547530701738127,9575,99.5,52.093,51.75,52.093,0.717049918315856,3,2,1,1,68,1
28,15.56801698475974,9575,99.5,52.093,51.75,52.093,0.717049918315856,3,2,1,1,68,1
29,15.540675529471047,9575,99.5,52.093,51.75,52.093,0.717049918315856,3,2,1,1,68,1
30,15.532560835157184,9575,99.5,52.093,51.75,52.093,0.717049918315856,3,2,1,1,68,1
31,15.574549302835075,9575,99.5,52.093,51.75,52.093,0.717049918315856,3,2,1,1,68,1
32,15.505687594500575,9575,99.5,52.093,51.75,52.093,0.717049918315856,3,2,1,1,68,1
33,15.526523480591402,9616,99.4,51.968,51.718,51.968,0.7170617083084078,3,3,0,3,40,28
34,15.546839149693275,9616,99.4,51.968,51.718,51.968,0.7170617083084078,3,3,0,3,40,28
35,15.54292151652937,9616,99.4,51.968,51.718,51.968,0.7170617083084078,3,3,0,3,40,28
36,15.55479571439697,9616,99.4,51.968,51.718,51.968,0.7170617083084078,3,3,0,3,40,28
37,15.549432787128346,9616,99.4,51.968,51.718,51.968,0.7170617083084078,3,3,0,3,40,28
38,15.540790692504354,9616,99.4,51.968,51.718,51.968,0.7170617083084078,3,3,0,3,40,28
39,15.56946171578326,9616,99.4,51.968,51.718,51.968,0.7170617083084078,3,3,0,3,40,28
40,15.502822018769104,9616,99.4,51.968,51.718,51.968,0.7170617083084078,3,3,0,3,40,28
41,15.57084890985971,9616,99.4,52.437,51.812,52.437,0.7170309518060987,5,4,2,3,0,68
42,15.566052580793611,9616,99.4,52.437,51.812,52.437,0.7170309518060987,5,4,2,3,0,68
43,15.57090671497728,9616,99.4,52.437,51.812,52.437,0.7170309518060987,5,4,2,3,0,68
44,15.568999372682358,9616,99.4,52.437,51.812,52.437,0.7170309518060987,5,4,2,3,0,68
45,15.560566431828216,9616,99.4,52.437,51.812,52.437,0.7170309518060987,5,4,2,3,0,68
46,15.563280148423006,9616,99.4,52.437,51.812,52.437,0.7170309518060987,5,4,2,3,0,68
47,15.544995311637146,9616,99.4,52.437,51.812,52.437,0.7170309518060987,5,4,2,3,0,68
48,15.572525432538798,9616,99.4,52.437,51.812,52.437,0.7170309518060987,5,4,2,3,0,68
49,15.54758833385229,9413,45.7,51.812,52.187,52.187,0.7168571775680526,2,2,5,4,66,0
50,15.56154787964234,9413,45.7,51.812,52.187,52.187,0.7168571775680526,2,2,5,4,66,0
51,15.5531230068675,9413,45.7,51.812,52.187,52.187,0.7168571775680526,2,2,5,4,66,0
52,15.53745165735623,9413,45.7,51.812,52.187,52.187,0.7168571775680526,2,2,5,4,66,0
53,15.564492966056724,9413,45.7,51.812,52.187,52.187,0.7168571775680526,2,2,5,4,66,0
54,15.535552501842723,9413,45.7,51.812,52.187,52.187,0.7168571775680526,2,2,5,4,66,0
55,15.54211519007511,9413,45.7,51.812,52.187,52.187,0.7168571775680526,2,2,5,4,66,0
56,15.53026033701999,9413,45.7,51.812,52.187,52.187,0.7168571775680526,2,2,5,4,66,0
57,15.492114147256757,9225,,52.093,52.156,52.156,0.7167280002583546,3,0,0,3,68,1
58,15.561605615722241,9225,,52.093,52.156,52.156,0.7167280002583546,3,0,0,3,68,1
59,15.56911495588328,9225,,52.093,52.156,52.156,0.7167280002583546,3,0,0,3,68,1
60,15.542057598529652,9225,,52.093,52.156,52.156,0.7167280002583546,3,0,0,3,68,1
61,15.556064904960593,9225,,52.093,52.156,52.156,0.7167280002583546,3,0,0,3,68,1
62,15.525948739209618,9225,,52.093,52.156,52.156,0.7167280002583546,3,0,0,3,68,1
63,15.515208907466661,9225,,52.093,52.156,52.156,0.7167280002583546,3,0,0,3,68,1
64,15.521524655379777,9225,,52.093,52.156,52.156,0.7167280002583546,3,0,0,3,68,1
65,15.462643868846174,9494,11.1,52.343,52.187,52.531,0.7168935727624517,2,1,0,2,68,0
66,15.558950199387926,9494,11.1,52.343,52.187,52.531,0.7168935727624517,2,1,0,2,68,0
67,15.539063426200356,9494,11.1,52.343,52.187,52.531,0.7168935727624517,2,1,0,2,68,0
68,15.534056524460476,9494,11.1,52.343,52.187,52.531,0.7168935727624517,2,1,0,2,68,0
69,15.545110538702444,9494,11.1,52.343,52.187,52.531,0.7168935727624517,2,1,0,2,68,0
70,15.534919553171946,9494,11.1,52.343,52.187,52.531,0.7168935727624517,2,1,0,2,68,0
71,15.53026033701999,9494,11.1,52.343,52.187,52.531,0.7168935727624517,2,1,0,2,68,0
72,15.529397825893783,9494,11.1,52.343,52.187,52.531,0.7168935727624517,2,1,0,2,68,0
73,15.483307000575875,9494,11.1,52.343,52.187,52.531,0.7168935727624517,2,1,0,2,68,0
74,15.515381086959739,9697,99.4,52.5,52.187,52.5,0.716825395849,3,2,2,2,66,0
75,15.540330050611713,9697,99.4,52.5,52.187,52.5,0.716825395849,3,2,2,2,66,0
76,15.562818172373362,9697,99.4,52.5,52.187,52.5,0.716825395849,3,2,2,2,66,0
77,15.56356889738214,9697,99.4,52.5,52.187,52.5,0.716825395849,3,2,2,2,66,0
78,15.534746939758143,9697,99.4,52.5,52.187,52.5,0.716825395849,3,2,2,2,66,0
79,15.524799384086938,9697,99.4,52.5,52.187,52.5,0.716825395849,3,2,2,2,66,0
80,15.575995246583481,9697,99.4,52.5,52.187,52.5,0.716825395849,3,2,2,2,66,0
81,15.526408528910935,9697,99.4,52.5,52.187,52.5,0.716825395849,3,2,2,2,66,0
82,15.567959201095691,9454,97.0,52.468,52.281,52.468,0.7168833205950152,3,2,1,2,67,0
83,15.558661621782031,9454,97.0,52.468,52.281,52.468,0.7168833205950152,3,2,1,2,67,0
84,15.572120721597047,9454,97.0,52.468,52.281,52.468,0.7168833205950152,3,2,1,2,67,0
85,15.557911370102339,9454,97.0,52.468,52.281,52.468,0.7168833205950152,3,2,1,2,67,0
86,15.55231562163966,9454,97.0,52.468,52.281,52.468,0.7168833205950152,3,2,1,2,67,0
87,15.563222399916883,9454,97.0,52.468,52.281,52.468,0.7168833205950152,3,2,1,2,67,0
88,15.562587194633263,9454,97.0,52.468,52.281,52.468,0.7168833205950152,3,2,1,2,67,0
89,15.542172782047386,9454,97.0,52.468,52.281,52.468,0.7168833205950152,3,2,1,2,67,0
90,15.548452866839416,9347,63.8,52.218,52.437,52.437,0.7168387236666672,3,2,2,5,68,0
91,15.517734589756966,9347,63.8,52.218,52.437,52.437,0.7168387236666672,3,2,2,5,68,0
92,15.559585107803713,9347,63.8,52.218,52.437,52.437,0.7168387236666672,3,2,2,5,68,0
93,15.58971614202934,9347,63.8,52.218,52.437,52.437,0.7168387236666672,3,2,2,5,68,0
94,15.540963440254625,9347,63.8,52.218,52.437,52.437,0.7168387236666672,3,2,2,5,68,0
95,15.546320526030971,9347,63.8,52.218,52.437,52.437,0.7168387236666672,3,2,2,5,68,0
96,15.562183000085337,9347,63.8,52.218,52.437,52.437,0.7168387236666672,3,2,2,5,68,0
97,15.546435772743447,9347,63.8,52.218,52.437,52.437,0.7168387236666672,3,2,2,5,68,0
98,15.51262667357053,9265,,52.312,52.468,52.468,0.7167351767755601,4,1,2,2,68,0
99,15.53963913897225,9265,,52.312,52.468,52.468,0.7167351767755601,4,1,2,2,68,0
100,15.553699761927717,9265,,52.312,52.468,52.468,0.7167351767755601,4,1,2,2,68,0
101,15.531295476847308,9265,,52.312,52.468,52.468,0.7167351767755601,4,1,2,2,68,0
102,15.55231562163966,9265,,52.312,52.468,52.468,0.7167351767755601,4,1,2,2,68,0
103,15.550585792673884,9265,,52.312,52.468,52.468,0.7167351767755601,4,1,2,2,68,0
104,15.5443039851165,9265,,52.312,52.468,52.468,0.7167351767755601,4,1,2,2,68,0
105,15.562991410177919,9265,,52.312,52.468,52.468,0.7167351767755601,4,1,2,2,68,0
106,15.505229031196745,9225,18.6,52.187,52.593,52.593,0.7166059994658621,4,3,1,0,68,0
107,15.448861125025783,9225,18.6,52.187,52.593,52.593,0.7166059994658621,4,3,1,0,68,0
108,15.545110538702444,9225,18.6,52.187,52.593,52.593,0.7166059994658621,4,3,1,0,68,0
109,15.558084498683186,9225,18.6,52.187,52.593,52.593,0.7166059994658621,4,3,1,0,68,0
110,15.556584178980476,9225,18.6,52.187,52.593,52.593,0.7166059994658621,4,3,1,0,68,0
111,15.539178565342066,9225,18.6,52.187,52.593,52.593,0.7166059994658621,4,3,1,0,68,0
112,15.523305476805554,9225,18.6,52.187,52.593,52.593,0.7166059994658621,4,3,1,0,68,0
113,15.551162359571391,9225,18.6,52.187,52.593,52.593,0.7166059994658621,4,3,1,0,68,0
114,15.50649014555228,9184,32.1,52.437,52.812,52.812,0.7165772933970403,4,2,1,1,68,3
115,15.542748725246057,9184,32.1,52.437,52.812,52.812,0.7165772933970403,4,2,1,1,68,3
116,15.486851530480376,9184,32.1,52.437,52.812,52.812,0.7165772933970403,4,2,1,1,68,3
117,15.526523480591402,9184,32.1,52.437,52.812,52.812,0.7165772933970403,4,2,1,1,68,3
118,15.54073311077435,9184,32.1,52.437,52.812,52.812,0.7165772933970403,4,2,1,1,68,3
119,15.576978641699752,9184,32.1,52.437,52.812,52.812,0.7165772933970403,4,2,1,1,68,3
120,15.544361593311294,9184,32.1,52.437,52.812,52.812,0.7165772933970403,4,2,1,1,68,3
121,15.567785852677213,9184,32.1,52.437,52.812,52.812,0.7165772933970403,4,2,1,1,68,3
122,15.548279952550415,9265,28.8,52.5,52.687,52.687,0.7165019399663831,3,4,2,14,44,25
123,15.537394100367106,9265,28.8,52.5,52.687,52.687,0.7165019399663831,3,4,2,14,44,25
124,15.544015950547374,9265,28.8,52.5,52.687,52.687,0.7165019399663831,3,4,2,14,44,25
125,15.54678152313315,9265,28.8,52.5,52.687,52.687,0.7165019399663831,3,4,2,14,44,25
126,15.556641878233778,9265,28.8,52.5,52.687,52.687,0.7165019399663831,3,4,2,14,44,25
127,15.56264493842552,9265,28.8,52.5,52.687,52.687,0.7165019399663831,3,4,2,14,44,25
128,15.542000007411003,9265,28.8,52.5,52.687,52.687,0.7165019399663831,3,4,2,14,44,25
129,15.548337590219418,9265,28.8,52.5,52.687,52.687,0.7165019399663831,3,4,2,14,44,25
130,15.558142209066393,9306,99.4,52.875,52.687,52.875,0.7164634943384969,4,2,2,2,0,68
131,15.561894302548197,9306,99.4,52.875,52.687,52.875,0.7164634943384969,4,2,2,2,0,68
132,15.575821719157911,9306,99.4,52.875,52.687,52.875,0.7164634943384969,4,2,2,2,0,68
133,15.547473070051229,9306,99.4,52.875,52.687,52.875,0.7164634943384969,4,2,2,2,0,68
134,15.590817176162721,9306,99.4,52.875,52.687,52.875,0.7164634943384969,4,2,2,2,0,68
135,15.552084955542208,9306,99.4,52.875,52.687,52.875,0.7164634943384969,4,2,2,2,0,68
136,15.548164678494377,9306,99.4,52.875,52.687,52.875,0.7164634943384969,4,2,2,2,0,68
137,15.536012860545314,9306,99.4,52.875,52.687,52.875,0.7164634943384969,4,2,2,2,0,68
138,15.519112581262233,9265,54.5,52.593,52.687,52.937,0.7162789553246426,5,2,2,2,0,68
139,15.556180296191348,9265,54.5,52.593,52.687,52.937,0.7162789553246426,5,2,2,2,0,68
140,15.549144562457135,9265,54.5,52.593,52.687,52.937,0.7162789553246426,5,2,2,2,0,68
141,15.548222315308736,9265,54.5,52.593,52.687,52.937,0.7162789553246426,5,2,2,2,0,68
142,15.510274719788773,9265,54.5,52.593,52.687,52.937,0.7162789553246426,5,2,2,2,0,68
143,15.559354226020893,9265,54.5,52.593,52.687,52.937,0.7162789553246426,5,2,2,2,0,68
144,15.568479269514865,9265,54.5,52.593,52.687,52.937,0.7162789553246426,5,2,2,2,0,68
145,15.527098264526447,9265,54.5,52.593,52.687,52.937,0.7162789553246426,5,2,2,2,0,68
146,15.51337256395936,9184,0.8,52.468,53.0,53.0,0.7162671653320908,2,2,2,3,0,69
147,15.55802678872811,9184,0.8,52.468,53.0,53.0,0.7162671653320908,2,2,2,3,0,69
148,15.54678152313315,9184,0.8,52.468,53.0,53.0,0.7162671653320908,2,2,2,3,0,69
149,15.569692897631306,9184,0.8,52.468,53.0,53.0,0.7162671653320908,2,2,2,3,0,69
150,15.568768211428889,9184,0.8,52.468,53.0,53.0,0.7162671653320908,2,2,2,3,0,69
151,15.564377451471533,9184,0.8,52.468,53.0,53.0,0.7162671653320908,2,2,2,3,0,69
152,15.542230374446483,9184,0.8,52.468,53.0,53.0,0.7162671653320908,2,2,2,3,0,69
153,15.555026460913133,9184,0.8,52.468,53.0,53.0,0.7162671653320908,2,2,2,3,0,69
154,15.50030118812247,9103,,52.656,52.937,52.937,0.716114920645661,2,3,1,2,0,68
155,15.553526730918273,9103,,52.656,52.937,52.937,0.716114920645661,2,3,1,2,0,68
156,15.567496947225036,9103,,52.656,52.937,52.937,0.716114920645661,2,3,1,2,0,68
